Sample ID,Grab ID,Profile ID,Sample Number,Collect DateTime,Depth (m),Site Type,Area,Locator,Site,Parameter,Value,Units,QualityId,Lab Qualifier,MDL,RDL,Text Value,Sample Info,Steward Note,Replicates,Replicate Of,Method,Date Analyzed,Data Source
31147,,38663,L53552-2,07/05/2011 10:20,,Streams and Rivers,Thornton,434,Thornton Creek mouth at Sand Point Way NE,Orthophosphate Phosphorus,0.0487,mg/L,2,,0.002,0.005,,,,,,SM4500-P-F,07/07/2011,KCEL
18259,,34072,L14388-5,11/09/1998 11:10,,Streams and Rivers,Little Bear,478,Little Bear mouth near NE 178th St,Dissolved Oxygen  Field,11.6,mg/L,2,,,10,,,,,,NONE,,KCEL
90611,90611,44240,L55934-14,07/09/2012 10:26,15,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Ammonia Nitrogen,,mg/L,2,<MDL,0.005,0.01,,,,,,KEROUEL & AMINOT 1997,07/11/2012,KCEL
131475,,51225,L4668-2,10/10/1994 9:30,,Large Lakes,Lake Union/Ship Canal,540,Ship Canal near Montlake Bridge,Temperature,17.2,deg C,2,,,,,,,,,,,KCEL
114322,114322,49374,L27046-24,02/04/2003 11:44,1,Large Lakes,Lake Washington,832,Lake Washington near Coal Creek,E. coli,26,CFU/100ml,2,,,,,,,,,METRO MC SOP 6.5.1,02/05/2003,KCEL
63959,63959,42172,L47270-68,01/13/2009 11:52:00 AM,11,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Chlorophyll  Field,6.9,ug/L,2,,0.5,1,,,,,,HYDROLAB (SOP 205V4),,KCEL
103984,103984,47496,L13088-44,04/07/1998 13:04,15,Large Lakes,Lake Washington,890,Lake Washington south of I-90,Dissolved Oxygen  Field,10.5,mg/L,2,,,,,,,,,NONE,,KCEL
79389,79389,43370,L6997-4,10/04/1995 15:50,5,Large Lakes,Lake Union/Ship Canal,A522,Lake Union near west shore,Turbidity,,NTU,2,<MDL,0.5,1,,,,,,SM2130-B,,KCEL
83435,83435,44444,L14929-3,02/01/1999 10:24,10,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Total Phosphorus,0.0189,mg/L,2,,0.005,0.01,,,,,,SM4500-P-B F Modified,02/03/1999,KCEL
118390,118390,50492,L45007-128,01/16/2008 12:45:00 PM,3.1,Large Lakes,Lake Washington,840,Lake Washington east of Mercer Island,Temperature,6.45,deg C,2,,,,,,,,,Hydrolab (02-01-005-002),,KCEL
57406,57406,41922,L68911-45,10/24/2017 11:29:00 AM,26.1,Large Lakes,Lake Sammamish,612,Lake Sammamish mid-lake central,pH  Field,6.61,pH,2,,,,,,,,,KCEL SOP# 245,10/24/2017,KCEL
82181,82181,43823,L48683-10,08/10/2009 11:35,1,Large Lakes,Lake Washington,804,Lake Washington north end,Sampling Method,,none,2,,,,60201  90151  10041  18100,,,,,NONE,,KCEL
118929,118929,50274,L47020-144,11/13/2008 02:49:00 PM,6.1,Large Lakes,Lake Washington,840,Lake Washington east of Mercer Island,Dissolved Oxygen  Field,8.8,mg/L,2,,0.5,1,,,,,,HYDROLAB (SOP 205V4),,KCEL
12421,12421,2706,8515398,08/15/1985 12:00:00 AM,1,Streams and Rivers,Tibbetts,A630,Tibbetts Creek,Total Phosphorus,0.06,mg/L,2,,,,.060||King County Nstream Database/RS4,,,,,,,KCEL
132285,132285,51168,L64476-8,01/04/2016 9:29,1,Large Lakes,Lake Union/Ship Canal,540,Ship Canal near Montlake Bridge,Orthophosphate Phosphorus,0.00746,mg/L,2,,0.0005,0.002,,,,,,SM4500-P-F,01/06/2016,KCEL
37217,37217,40781,L15773-42,07/07/1999 11:49,11.8,Large Lakes,Lake Sammamish,611,Lake Sammamish mid-lake north,pH  Field,7.7,pH,2,,,,,,,,,NONE,,KCEL
10784,10784,29583,8215629,09/22/1982 12:00:00 AM,1,Streams and Rivers,Little Bear,478,Little Bear mouth near NE 178th St,pH,7.5,pH,2,,,,7.5||King County Nstream Database/RS4,,,,,,,KCEL
58337,58337,42316,L16340-10,09/07/1999 15:14,50.1,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Total Alkalinity,34,mg CaCO3/L,2,,0.2,1,,,,,,SM2320-B (03-03-001-001),09/09/1999,KCEL
27822,,15976,L40571-2,10/09/2006 10:01,,Streams and Rivers,McAleer,A432,McAleer at Bothell Way NE,Fecal Coliform,15,CFU/100ml,2,,,,,,,,,SM-9222 D ed.17,10/10/2006,KCEL
101772,101772,46473,L12373-19,12/03/1997 11:23,10,Large Lakes,Lake Sammamish,622,Lake Sammamish near George Davis Creek,Temperature,10.1,deg C,2,,,,,,,,,NONE,,KCEL
